GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PMML class model evaluator code coverage,org.jpmml.evaluator,NotImplementedException,4,0,0,0,2,0,1,0,1,0
PMML class model evaluator code coverage,org.jpmml.evaluator,OutputField,31,28,1,1,9,11,5,5,4,5
PMML class model evaluator code coverage,org.jpmml.evaluator,OutputFilters.new OutputFilter() {...},0,6,0,0,0,2,0,2,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator,TextUtil.TextProcessor,0,39,1,1,0,11,1,2,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator,Classification,52,198,5,7,13,58,7,25,2,24
PMML class model evaluator code coverage,org.jpmml.evaluator,OutputFilters.new OutputFilter() {...},0,5,0,0,0,2,0,2,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator,UndefinedResultException,0,4,0,0,0,2,0,1,0,1
PMML class model evaluator code coverage,org.jpmml.evaluator,SetHolder,7,12,1,1,1,3,1,1,0,1
PMML class model evaluator code coverage,org.jpmml.evaluator,MissingFieldException,6,17,0,0,2,3,1,2,1,2
PMML class model evaluator code coverage,org.jpmml.evaluator,ContinuousValue.new Object() {...},3,23,0,0,0,1,0,1,0,1
PMML class model evaluator code coverage,org.jpmml.evaluator,CategoricalValue.CategoricalString,4,17,1,1,1,5,1,3,0,3
PMML class model evaluator code coverage,org.jpmml.evaluator,TargetFieldUtil,46,55,13,8,12,16,11,1,0,1
PMML class model evaluator code coverage,org.jpmml.evaluator,IndexableUtil,17,63,4,8,5,14,5,6,1,4
PMML class model evaluator code coverage,org.jpmml.evaluator,JavaComparisonPredicate,34,0,2,0,11,0,5,0,4,0
PMML class model evaluator code coverage,org.jpmml.evaluator,InputFieldUtil,119,551,34,92,26,145,32,47,0,11
PMML class model evaluator code coverage,org.jpmml.evaluator,Report.Entry,16,29,0,0,4,12,1,5,1,5
PMML class model evaluator code coverage,org.jpmml.evaluator,FieldUtil,83,148,14,16,18,41,11,16,2,10
PMML class model evaluator code coverage,org.jpmml.evaluator,IntegrationTestBatch.new InvalidMarkupInspector() {...},23,0,4,0,8,0,5,0,3,0
PMML class model evaluator code coverage,org.jpmml.evaluator,ModelEvaluationContext,28,229,8,27,8,69,8,23,0,13
PMML class model evaluator code coverage,org.jpmml.evaluator,RichDataField,24,86,3,8,5,29,4,7,1,4
PMML class model evaluator code coverage,org.jpmml.evaluator,PMMLAttributes,0,429,0,0,0,107,0,1,0,1
PMML class model evaluator code coverage,org.jpmml.evaluator,InvalidResultException,0,9,0,0,0,4,0,2,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator,Strings,0,3,0,0,0,1,0,1,0,1
PMML class model evaluator code coverage,org.jpmml.evaluator,FunctionException,3,14,0,0,1,6,1,2,1,2
PMML class model evaluator code coverage,org.jpmml.evaluator,InlineTableUtil.new CacheLoader() {...},0,7,0,0,0,2,0,2,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator,VerificationUtil,4,98,4,22,1,12,4,12,0,3
PMML class model evaluator code coverage,org.jpmml.evaluator,JavaEqualityPredicate,34,0,2,0,11,0,5,0,4,0
PMML class model evaluator code coverage,org.jpmml.evaluator,MeasureUtil,213,410,44,47,40,88,33,22,0,7
PMML class model evaluator code coverage,org.jpmml.evaluator,PMMLEquivalence,12,60,2,4,3,20,3,7,1,6
PMML class model evaluator code coverage,org.jpmml.evaluator,ConfigurationBuilder,6,76,0,6,2,29,0,12,0,9
PMML class model evaluator code coverage,org.jpmml.evaluator,Functions,0,301,0,0,0,60,0,1,0,1
PMML class model evaluator code coverage,org.jpmml.evaluator,JavaValuePredicate,14,0,0,0,4,0,2,0,2,0
PMML class model evaluator code coverage,org.jpmml.evaluator,JavaPredicate,23,0,4,0,8,0,4,0,2,0
PMML class model evaluator code coverage,org.jpmml.evaluator,TextUtil.TermProcessor,0,37,1,1,0,11,1,2,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator,LevenshteinDistanceUtil,26,201,11,29,4,44,9,13,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator,UnsupportedElementException,0,43,1,1,0,8,1,2,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator,ReportingValueFactory,0,28,0,2,0,11,0,5,0,4
PMML class model evaluator code coverage,org.jpmml.evaluator,MatrixUtil,43,289,19,47,9,75,19,24,0,7
PMML class model evaluator code coverage,org.jpmml.evaluator,Evaluator,0,3,0,0,0,1,0,1,0,1
PMML class model evaluator code coverage,org.jpmml.evaluator,ReportingValueFactoryFactory.ReportingDoubleValueFactory,14,34,1,1,2,7,2,5,1,5
PMML class model evaluator code coverage,org.jpmml.evaluator,BatchTest,34,31,4,4,7,13,4,5,1,4
PMML class model evaluator code coverage,org.jpmml.evaluator,ExtensionUtil,2,9,1,1,1,3,1,1,0,1
PMML class model evaluator code coverage,org.jpmml.evaluator,DuplicateValueException,23,0,0,0,5,0,3,0,3,0
PMML class model evaluator code coverage,org.jpmml.evaluator,FloatVector,28,0,0,0,5,0,5,0,5,0
PMML class model evaluator code coverage,org.jpmml.evaluator,ReportingValueFactoryFactory.ReportingDoubleValueFactory.new ReportingSimpleDoubleVector() {...},0,10,0,0,0,2,0,2,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator,ReportingValueFactoryFactory.ReportingDoubleValueFactory.new ReportingComplexDoubleVector() {...},11,0,0,0,2,0,2,0,2,0
PMML class model evaluator code coverage,org.jpmml.evaluator,Regression,12,49,2,2,3,19,3,7,1,7
PMML class model evaluator code coverage,org.jpmml.evaluator,Report,28,32,2,4,7,7,3,5,2,3
PMML class model evaluator code coverage,org.jpmml.evaluator,Functions.new FpMathFunction() {...},0,9,0,0,0,2,0,2,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator,Functions.new FpMathFunction() {...},5,4,0,0,1,1,1,1,1,1
PMML class model evaluator code coverage,org.jpmml.evaluator,Functions.new AggregateFunction() {...},0,8,0,0,0,2,0,2,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator,Functions.new FpMathFunction() {...},0,9,0,0,0,2,0,2,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator,MissingElementException,4,23,0,0,2,5,1,3,1,3
PMML class model evaluator code coverage,org.jpmml.evaluator,SparseArrayUtil.new AbstractList() {...},0,31,0,2,0,6,0,4,0,3
PMML class model evaluator code coverage,org.jpmml.evaluator,SparseArrayUtil.new CacheLoader() {...},0,7,0,0,0,2,0,2,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator,ReportingFloatValue,1400,56,19,1,157,16,57,5,47,5
PMML class model evaluator code coverage,org.jpmml.evaluator,EvaluationContext,36,224,6,20,11,59,7,22,2,14
